region,cadence,sort_order,headline,source,event_period,tag,summary,url
us,weekly,1,Sentiment rebounded in early June as gasoline-price pressure eased.,University of Michigan,Jun W1,Sentiment,The preliminary June survey showed a rebound from May while inflation expectations remained elevated.,https://www.sca.isr.umich.edu/
us,weekly,2,Year-ahead inflation expectations edged down but stayed high.,University of Michigan,Jun W1,Inflation,"The one-year inflation outlook slipped from May, which supports a modest sentiment rebound but keeps cost-of-living risk in the forecast.",https://www.sca.isr.umich.edu/
us,weekly,3,Current conditions and expectations both improved from May.,Briefing.com,Jun W1,Survey details,June gains were broad enough to lift both current conditions and expectations, matching the weekly path's gradual improvement.,https://www.briefing.com/calendars/economic/display-article?ArticleId=ER20251107100000Univ.ofMichiganConsumerSentiment-Prelim&FileName=mich.htm
us,monthly,1,June sentiment improved from May but remained historically weak.,Trading Economics,Jun-26,Monthly signal,"The June monthly forecast is shaped by a rebound from a depressed May base, not by a full normalization of household sentiment.",https://tradingeconomics.com/united-states/consumer-confidence
us,monthly,2,Inflation expectations eased only partially in June.,University of Michigan,Jun-26,Inflation,"Lower inflation expectations help the June forecast, while still-elevated readings limit the upside.",https://www.sca.isr.umich.edu/
us,monthly,3,Fuel-cost relief was a visible support for June sentiment.,Barron's,Jun-26,Household costs,News coverage of easing gas prices aligns with the model's small positive June revision.,https://www.barrons.com/livecoverage/stock-market-news-today-061226/card/consumers-more-upbeat-as-gas-prices-ease-hhs61nOs4UKyHb9bUab6
eu,weekly,1,EU and euro-area consumer confidence continued recovering in June.,European Commission,Jun W1,Confidence,"The flash indicator rose by 1.2 points in the EU and 1.3 points in the euro area versus May, but stayed below its long-run average.",https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en
eu,weekly,2,Euro-area confidence improved to -17.7 from -19.0.,Trading Economics,Jun W1,Release,"The improvement supports a less negative weekly path, while the level still points to weak household confidence.",https://tradingeconomics.com/euro-area/consumer-confidence
eu,weekly,3,The June reading remained well below its long-term average.,European Commission,Jun W1,Risk,The negative level keeps the EU27 nowcast cautious despite the month-on-month improvement.,https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en
eu,monthly,1,June EU27 confidence improved from May but remained negative.,European Commission,Jun-26,Monthly signal,"The monthly path reflects a less negative June reading after May weakness, with confidence still below normal.",https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en
eu,monthly,2,Euro-area sentiment stayed below its long-run average.,European Commission,Jun-26,Risk,"The forecast improves modestly, but the level remains cautious because households still report weak confidence.",https://economy-finance.ec.europa.eu/economic-forecast-and-surveys/business-and-consumer-surveys/latest-business-and-consumer-surveys_en
eu,monthly,3,Inflation and growth uncertainty continue to weigh on households.,Trading Economics,Jun-26,Macro backdrop,The June forecast keeps the rebound small because household sentiment is still sensitive to prices and growth risks.,https://tradingeconomics.com/euro-area/consumer-confidence
jp,weekly,1,Japan's May consumer confidence index rose to 33.6.,ESRI Cabinet Office,Jun W1,Confidence,"The latest official release showed a 1.4 point improvement from April, setting a firmer base for the June weekly path.",https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html
jp,weekly,2,Employment and income-growth perceptions improved in May.,ESRI Cabinet Office,Jun W1,Household outlook,Improvement in employment and income-growth subindices supports the mild upward weekly path.,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html
jp,weekly,3,Sentiment remained below the neutral 50 threshold.,FocusEconomics,Jun W1,Risk,"The latest reading improved but remained pessimistic, so the Japan forecast is shown as a cautious firming rather than a breakout.",https://www.focus-economics.com/countries/japan/news/consumer-confidence/japan-consumer-confidence-29-05-2026-consumer-confidence-increases-in-may/
jp,monthly,1,Japan confidence strengthened from April into May.,ESRI Cabinet Office,Jun-26,Monthly signal,The June monthly forecast carries forward the improvement seen in the latest official confidence release.,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html
jp,monthly,2,Income-growth and employment perceptions supported the rebound.,ESRI Cabinet Office,Jun-26,Household outlook,Better income-growth and employment readings point to firmer household sentiment entering June.,https://www.esri.cao.go.jp/en/stat/shouhi/shouhi-e.html
jp,monthly,3,"Confidence improved, but the level remained cautious.",FocusEconomics,Jun-26,Risk,The Japan monthly path shows a mild strengthening rather than a sharp recovery because sentiment remains below neutral.,https://www.focus-economics.com/countries/japan/news/consumer-confidence/japan-consumer-confidence-29-05-2026-consumer-confidence-increases-in-may/
